SID,SEASON,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY
2024145N14087,2024,NI,BB,REMAL,2024-05-23 12:00:00+00:00,DS,13.6,86.6,,, 
2024145N14087,2024,NI,BB,REMAL,2024-05-23 15:00:00+00:00,DS,13.9,87.2,,, 
2024145N14087,2024,NI,BB,REMAL,2024-05-23 18:00:00+00:00,DS,14.3,87.7,,, 
2024145N14087,2024,NI,BB,REMAL,2024-05-23 21:00:00+00:00,DS,14.7,88.2,,, 
2024145N14087,2024,NI,BB,REMAL,2024-05-24 00:00:00+00:00,MX,15.2,88.6,25.0,996.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-24 03:00:00+00:00,MX,15.5,89.0,25.0,996.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-24 06:00:00+00:00,MX,15.9,89.3,25.0,996.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-24 09:00:00+00:00,MX,16.1,89.4,,, 
2024145N14087,2024,NI,BB,REMAL,2024-05-24 12:00:00+00:00,MX,16.4,89.6,25.0,995.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-24 15:00:00+00:00,MX,16.7,89.7,,, 
2024145N14087,2024,NI,BB,REMAL,2024-05-24 18:00:00+00:00,MX,17.0,89.9,25.0,995.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-24 21:00:00+00:00,MX,17.2,89.9,,, 
2024145N14087,2024,NI,BB,REMAL,2024-05-25 00:00:00+00:00,TS,17.6,90.0,30.0,993.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-25 03:00:00+00:00,TS,17.9,89.8,30.0,992.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-25 06:00:00+00:00,TS,18.2,89.6,30.0,991.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-25 09:00:00+00:00,TS,18.4,89.5,,, 
2024145N14087,2024,NI,BB,REMAL,2024-05-25 12:00:00+00:00,TS,18.7,89.3,35.0,989.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-25 15:00:00+00:00,TS,18.9,89.2,35.0,989.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-25 18:00:00+00:00,TS,19.2,89.2,40.0,988.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-25 21:00:00+00:00,TS,19.4,89.2,45.0,986.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-26 00:00:00+00:00,TS,19.6,89.2,50.0,984.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-26 03:00:00+00:00,TS,19.9,89.1,50.0,984.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-26 06:00:00+00:00,TS,20.3,89.1,50.0,983.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-26 09:00:00+00:00,TS,20.6,89.1,55.0,981.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-26 12:00:00+00:00,TS,21.2,89.1,60.0,978.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-26 14:00:00+00:00,TS,21.5,89.0,,, 
2024145N14087,2024,NI,BB,REMAL,2024-05-26 15:00:00+00:00,TS,21.6,89.0,60.0,978.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-26 18:00:00+00:00,TS,22.0,88.9,60.0,978.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-26 21:00:00+00:00,TS,22.2,88.9,55.0,980.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-27 00:00:00+00:00,TS,22.6,89.0,45.0,982.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-27 03:00:00+00:00,TS,22.8,89.1,40.0,984.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-27 06:00:00+00:00,TS,23.1,89.1,35.0,985.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-27 09:00:00+00:00,TS,23.3,89.3,35.0,986.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-27 12:00:00+00:00,TS,23.6,89.6,35.0,987.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-27 15:00:00+00:00,TS,23.8,90.1,30.0,988.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-27 18:00:00+00:00,TS,24.1,90.5,30.0,990.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-27 21:00:00+00:00,TS,24.3,90.8,,, 
2024145N14087,2024,NI,BB,REMAL,2024-05-28 00:00:00+00:00,MX,24.5,91.1,20.0,991.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-28 03:00:00+00:00,TS,24.7,91.5,20.0,992.0,newdelhi
2024145N14087,2024,NI,BB,REMAL,2024-05-28 06:00:00+00:00,TS,25.1,91.8,20.0,993.0,newdelhi
