SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,USA_POCI,USA_ROCI,USA_RMW,USA_EYE,TOKYO_LAT,TOKYO_LON,TOKYO_GRADE,TOKYO_WIND,TOKYO_PRES,TOKYO_R50_DIR,TOKYO_R50_LONG,TOKYO_R50_SHORT,TOKYO_R30_DIR,TOKYO_R30_LONG,TOKYO_R30_SHORT,TOKYO_LAND,CMA_LAT,CMA_LON,CMA_CAT,CMA_WIND,CMA_PRES,HKO_LAT,HKO_LON,HKO_CAT,HKO_WIND,HKO_PRES,KMA_LAT,KMA_LON,KMA_CAT,KMA_WIND,KMA_PRES,KMA_R50_DIR,KMA_R50_LONG,KMA_R50_SHORT,KMA_R30_DIR,KMA_R30_LONG,KMA_R30_SHORT,NEWDELHI_LAT,NEWDELHI_LON,NEWDELHI_GRADE,NEWDELHI_WIND,NEWDELHI_PRES,NEWDELHI_CI,NEWDELHI_DP,NEWDELHI_POCI,REUNION_LAT,REUNION_LON,REUNION_TYPE,REUNION_WIND,REUNION_PRES,REUNION_TNUM,REUNION_CI,REUNION_RMW,REUNION_R34_NE,REUNION_R34_SE,REUNION_R34_SW,REUNION_R34_NW,REUNION_R50_NE,REUNION_R50_SE,REUNION_R50_SW,REUNION_R50_NW,REUNION_R64_NE,REUNION_R64_SE,REUNION_R64_SW,REUNION_R64_NW,BOM_LAT,BOM_LON,BOM_TYPE,BOM_WIND,BOM_PRES,BOM_TNUM,BOM_CI,BOM_RMW,BOM_R34_NE,BOM_R34_SE,BOM_R34_SW,BOM_R34_NW,BOM_R50_NE,BOM_R50_SE,BOM_R50_SW,BOM_R50_NW,BOM_R64_NE,BOM_R64_SE,BOM_R64_SW,BOM_R64_NW,BOM_ROCI,BOM_POCI,BOM_EYE,BOM_POS_METHOD,BOM_PRES_METHOD,NADI_LAT,NADI_LON,NADI_CAT,NADI_WIND,NADI_PRES,WELLINGTON_LAT,WELLINGTON_LON,WELLINGTON_WIND,WELLINGTON_PRES,DS824_LAT,DS824_LON,DS824_STAGE,DS824_WIND,DS824_PRES,TD9636_LAT,TD9636_LON,TD9636_STAGE,TD9636_WIND,TD9636_PRES,TD9635_LAT,TD9635_LON,TD9635_WIND,TD9635_PRES,TD9635_ROCI,NEUMANN_LAT,NEUMANN_LON,NEUMANN_CLASS,NEUMANN_WIND,NEUMANN_PRES,MLC_LAT,MLC_LON,MLC_CLASS,MLC_WIND,MLC_PRES,USA_GUST,BOM_GUST,BOM_GUST_PER,REUNION_GUST,REUNION_GUST_PER,USA_SEAHGT,USA_SEARAD_NE,USA_SEARAD_SE,USA_SEARAD_SW,USA_SEARAD_NW,STORM_SPEED,STORM_DIR
2024145N14087,2024,23,NI,BB,REMAL,23-05-2024 12:00,DS,13.6,86.6, , , ,main,570,570,O______________,jtwc_io,IO012024,13.6,86.6, ,MD,15,1000,-3, , , , , , , , , , , , ,1003,150,120, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,60
2024145N14087,2024,23,NI,BB,REMAL,23-05-2024 15:00,DS,13.9,87.2, , , ,main,593,583,P______________, ,IO012024,13.9,87.2, ,MD,15,999,-3, , , , , , , , , , , , ,1003,165,118, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,55
2024145N14087,2024,23,NI,BB,REMAL,23-05-2024 18:00,DS,14.3,87.7, , , ,main,589,586,O______________,jtwc_io,IO012024,14.3,87.7, ,MD,15,998,-3, , , , , , , , , , , , ,1002,180,115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,50
2024145N14087,2024,23,NI,BB,REMAL,23-05-2024 21:00,DS,14.7,88.2, , , ,main,594,586,P______________, ,IO012024,14.7,88.2, ,MD,18,997,-3, , , , , , , , , , , , ,1001,183,113, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,45
2024145N14087,2024,23,NI,BB,REMAL,24-05-2024 00:00,MX,15.2,88.6,25,996,newdelhi,main,585,559,O____O_________,jtwc_io,IO012024,15.2,88.7, ,MD,20,996,-3, , , , , , , , , , , , ,999,185,110, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,88.4,D,25,996,1.5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,45
2024145N14087,2024,23,NI,BB,REMAL,24-05-2024 03:00,MX,15.5,89,25,996,newdelhi,main,559,524,P____O_________, ,IO012024,15.6,89.2, ,MD,23,995,-3, , , , , , , , , , , , ,1000,195,105, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15.5,88.7,D,25,996,1.5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,40
2024145N14087,2024,23,NI,BB,REMAL,24-05-2024 06:00,MX,15.9,89.3,25,996,newdelhi,main,524,513,O____O_________,jtwc_io,IO012024,15.9,89.6, ,MD,25,994,-3, , , , , , , , , , , , ,1000,205,100, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15.8,88.9,D,25,996,1.5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,35
2024145N14087,2024,23,NI,BB,REMAL,24-05-2024 09:00,MX,16.1,89.4, , , ,main,513,502,P____P_________, ,IO012024,16.3,89.8, ,MD,25,994,-3, , , , , , , , , , , , ,1000,205,100, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,89,D,25,996, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,25
2024145N14087,2024,23,NI,BB,REMAL,24-05-2024 12:00,MX,16.4,89.6,25,995,newdelhi,main,493,485,O____O_________,jtwc_io,IO012024,16.6,90, ,MD,25,993,-3, , , , , , , , , , , , ,1000,205,100, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16.2,89.1,D,25,995,1.5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,25
2024145N14087,2024,23,NI,BB,REMAL,24-05-2024 15:00,MX,16.7,89.7, , , ,main,486,474,P____P_________, ,IO012024,16.9,90.2, ,MD,25,993,-3, , , , , , , , , , , , ,1000,213,95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16.5,89.2,D,25,995, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,30
